conductivity_Sm,diameter_nm,length_um,density_gcm3,tensile_strength_MPa,youngs_modulus_GPa,source
206449.9655852557,1.4,785.0,,,,meta-analysis-2021
1740.7407407407002,10.0,633.0,,105.0,,meta-analysis-2021
2333.3333333333003,42.0,633.0,,85.0,,meta-analysis-2021
4333.3333333333,0.81,633.0,,122.0,,meta-analysis-2021
19444.444444444398,0.87,633.0,,117.0,,meta-analysis-2021
584000.0,1.29,,,,,meta-analysis-2021
190204.496336401,1.28,,,,,meta-analysis-2021
131865.1005076979,1.28,,,,,meta-analysis-2021
103808.703308664,1.28,,,,,meta-analysis-2021
6628.7031618264,1.28,,,,,meta-analysis-2021
10695.984852697398,1.0,,,,,meta-analysis-2021
102268.117027206,1.0,,,,,meta-analysis-2021
130882.9625928199,1.0,,,,,meta-analysis-2021
2127.757244814,1.3,,,,,meta-analysis-2021
104587.677602903,1.3,,,,,meta-analysis-2021
119652.5828732069,1.3,,,,,meta-analysis-2021
22222.222222222197,1.4,,,,,meta-analysis-2021
190476.19047619042,1.4,,,,,meta-analysis-2021
10255.1028297509,10.0,,,202.425373134328,,meta-analysis-2021
14199.126333694001,10.0,,,220.335820895522,,meta-analysis-2021
20160.3139013452,10.0,,,482.276119402985,,meta-analysis-2021
13397.4408535641,10.0,,,301.492537313432,,meta-analysis-2021
14962.0766970774,10.0,,,272.947761194029,,meta-analysis-2021
20561.1952992113,10.0,,,387.126865671641,,meta-analysis-2021
18324.107004793503,10.0,,,417.350746268656,,meta-analysis-2021
15880.1608164527,10.0,,,260.634328358208,,meta-analysis-2021
90909.0909090909,20.0,,0.55,,,meta-analysis-2021
660714.285714285,1.8,,0.54,164.0,9.68,meta-analysis-2021
1109693.87755102,1.8,,0.82,275.0,11.7,meta-analysis-2021
964285.714285714,1.8,,0.52,228.0,18.06,meta-analysis-2021
823979.591836734,1.8,,0.55,103.0,9.8,meta-analysis-2021
384615.38461538457,1.41,,,,,meta-analysis-2021
12820.512820512798,1.41,,,,,meta-analysis-2021
6000000.0,1.5,,1.65,2800.0,140.0,meta-analysis-2021
5000000.0,3.2,,,1000.0,,meta-analysis-2021
4800000.0,2.0,,,1250.0,,meta-analysis-2021
3300000.0,2.2,,,1100.0,,meta-analysis-2021
4300000.0,1.5,,,880.0,,meta-analysis-2021
5600000.0,1.5,,,1510.0,,meta-analysis-2021
7700000.0,2.1,,1.58,2430.0,,meta-analysis-2021
2400000.0,0.8,,,1130.0,,meta-analysis-2021
3500000.0,1.5,,,1110.0,,meta-analysis-2021
5000000.0,1.4,,,1590.0,,meta-analysis-2021
5200000.0,1.5,,,1540.0,,meta-analysis-2021
2300000.0,1.5,,,500.0,,meta-analysis-2021
1700000.0,1.5,,,330.0,,meta-analysis-2021
4900000.0,2.1,,,3380.0,,meta-analysis-2021
2200000.0,0.8,,,1330.0,,meta-analysis-2021
4500000.0,1.5,,,2800.0,,meta-analysis-2021
4800000.0,1.4,,,2840.0,,meta-analysis-2021
4900000.0,1.5,,,3250.0,,meta-analysis-2021
2400000.0,1.5,,,1100.0,,meta-analysis-2021
2400000.0,1.5,,,2060.0,,meta-analysis-2021
6100000.0,2.1,,,4080.0,,meta-analysis-2021
331125.8278145695,1.4,,,,,meta-analysis-2021
313479.6238244514,1.4,,,,,meta-analysis-2021
93457.9439252336,1.4,,,,,meta-analysis-2021
78740.1574803149,1.4,,,,,meta-analysis-2021
73529.4117647058,1.4,,,,,meta-analysis-2021
17857.1428571428,1.4,,,,,meta-analysis-2021
27932.9608938547,1.4,,,,,meta-analysis-2021
29940.119760479,1.4,,,,,meta-analysis-2021
32154.340836012798,1.4,,,,,meta-analysis-2021
31545.7413249211,1.4,,,,,meta-analysis-2021
399.9999999999,1.4,,,,,meta-analysis-2021
5586.592178770899,1.4,,,,,meta-analysis-2021
9708.7378640776,1.4,,,,,meta-analysis-2021
12254.9019607843,1.4,,,,,meta-analysis-2021
17761.9893428063,1.4,,,,,meta-analysis-2021
27743.2938240798,5.0,,,,,meta-analysis-2021
63879.6574604434,5.0,,,,,meta-analysis-2021
33000.0,2.0,200.0,,,,meta-analysis-2021
107000.0,2.0,,,,,meta-analysis-2021
233999.9999999999,2.0,,,,,meta-analysis-2021
42921.146953405,7.0,532.0,,,,meta-analysis-2021
64729.729729729996,7.0,532.0,,,,meta-analysis-2021
88376.3837638376,7.0,532.0,,,,meta-analysis-2021
92829.4573643412,7.0,532.0,,,,meta-analysis-2021
20530.5407434501,7.0,532.0,,,,meta-analysis-2021
45930.2325581396,7.0,532.0,,,,meta-analysis-2021
38127.4131274131,7.0,532.0,,,,meta-analysis-2021
71128.6668621685,7.0,532.0,,,,meta-analysis-2021
69556.2635506479,7.0,532.0,,,,meta-analysis-2021
62818.830721592305,7.0,532.0,,,,meta-analysis-2021
270000.0,1.35,,,,,meta-analysis-2021
6000.0,1.35,,,,,meta-analysis-2021
46838.5816247048,1.4,488.0,,,,meta-analysis-2021
8823.4025740413,1.4,,,,,meta-analysis-2021
368355.84586581786,1.4,,,,,meta-analysis-2021
50704.143871075496,1.4,,,,,meta-analysis-2021
31150.4424778761,4.0,,0.91,,,meta-analysis-2021
43716.8141592919,4.0,,1.19,,,meta-analysis-2021
18812.7853881278,10.0,633.0,,441.201716738197,24.7970479704796,meta-analysis-2021
45662.1004566209,10.0,633.0,,1045.49356223175,64.3542435424354,meta-analysis-2021
46392.694063926894,10.0,633.0,,1354.50643776824,86.1992619926199,meta-analysis-2021
52237.4429223743,10.0,633.0,,1426.60944206008,92.1033210332103,meta-analysis-2021
62100.4566210044,10.0,633.0,0.6051502145922716,1694.42060085836,108.634686346863,meta-analysis-2021
64292.2374429223,10.0,633.0,,1426.60944206008,87.6752767527675,meta-analysis-2021
