Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Raman wavelength,Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),CNT Diameter (nm),Plottable CNT Diameter (nm),Host Conductivity (MSm-1),Bulk Fiber Diameter (microns),Thermal Conductivity (W/(m K)),Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log Host Conductivity ,Log Thermal Conductivity ,Probe separation for Electrical conductivity (microns),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Diameter Regime
2.27,1.3,1.746153846153846,514,4340,3.3,91,2--7 ,4.5,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.35602585719312274,0.11394335230683679,0.2420825048862859,3.637489729512511,0.5185139398778874,1.9590413923210936,0.6532125137753437,,,,,,,,4.5,0.6532125137753437,,sub-micron
0.127,Not Reported/ Can not calculate,Not Reported/ Can not calculate,514,362,Not Reported/ Can not calculate,1.81,2--7 ,4.5,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.8961962790440431,,,2.558708570533166,,0.2576785748691845,0.6532125137753437,,,,,,,,4.5,0.6532125137753437,,sub-micron
0.065,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,4270,Not Reported/ Can not calculate,228,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.1870866433571443,,,3.630427875025024,,2.357934847000454,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,5580,Not Reported/ Can not calculate,304,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,3.7466341989375787,,2.482873583608754,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.0667,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,4280,Not Reported/ Can not calculate,255,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.175874166083451,,,3.6314437690131722,,2.406540180433955,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,5490,Not Reported/ Can not calculate,294,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,3.739572344450092,,2.4683473304121573,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.75,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2340,Not Reported/ Can not calculate,896,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.12493873660829995,,,3.369215857410143,,2.9523080096621253,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.839,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,3100,Not Reported/ Can not calculate,965,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.07623803917129975,,,3.4913616938342726,,2.9845273133437926,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.009238723872387231,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,3.9,3.9,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.034388012920047,,,,,,0.5910646070264992,,,,,,,,3.9,0.5910646070264992,,sub-micron
0.0147986798679868,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.8297770245793694,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.0168316831683168,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,5.4,5.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.7738724524043694,,,,,,0.7323937598229685,,,,,,,,5.4,0.7323937598229685,,sub-micron
0.0148602860286028,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.8279728312585952,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.012704070407040599,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.9,7.9,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.8960571080132882,,,,,,0.8976270912904415,,,,,,,,7.9,0.8976270912904415,,sub-micron
0.012211221122112198,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,8.7,8.7,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.9132409044353105,,,,,,0.9395192526186185,,,,,,,,8.7,0.9395192526186185,,sub-micron
0.005658958754653,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.2472634714104722,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.00658545880836396,0.787401574803149,0.008363532686622235,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,3.9,3.9,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.181413962387935,-0.1038037209559572,-2.0776102414319784,,,,0.5910646070264992,,,,,,,,3.9,0.5910646070264992,,sub-micron
0.016882074083761,0.722834645669291,0.023355374821760873,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.772574198243685,-0.14096103975471463,-1.6316131584889702,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.0178444997641388,0.708661417322834,0.025180571889395882,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,5.4,5.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.7484956221392105,-0.14956121151663235,-1.5989344106225782,,,,0.7323937598229685,,,,,,,,5.4,0.7323937598229685,,sub-micron
0.0176940717111377,0.730708661417322,0.024214947277095798,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.7521722169374936,-0.13625574473709526,-1.6159164722003982,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.013365005674679699,0.661417322834645,0.020206615722432424,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.9,7.9,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.8740308525092728,-0.1795244348940756,-1.6945064176151972,,,,0.8976270912904415,,,,,,,,7.9,0.8976270912904415,,sub-micron
0.011475239247299198,0.718110236220472,0.01597977395183113,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,8.7,8.7,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.9402382510892895,-0.14380888262754096,-1.7964293684617485,,,,0.9395192526186185,,,,,,,,8.7,0.9395192526186185,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.75,780,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.2,7.2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,-0.12493873660829995,,,,0.8573324964312685,,,,,,,,7.2,0.8573324964312685,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.17,780,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2,2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,-0.769551078621726,,,,0.3010299956639812,,,,,,,,2,0.3010299956639812,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.24,780,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.2,7.2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,0.09342168516223506,,,,0.8573324964312685,,,,,,,,7.2,0.8573324964312685,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.305,780,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2,2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,-0.5157001606532142,,,,0.3010299956639812,,,,,,,,2,0.3010299956639812,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,785,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,8--10,9,,13,448,,,,,,,0.9542425094393249,1.1139433523068367,2.651278013998144,,2.651278013998144,,,,9,0.9542425094393249,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,173.6,Not Reported/ Can not calculate,10.8,22,22,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,2.239549720840473,,1.0334237554869496,1.3424226808222062,,,,,,,,22,1.3424226808222062,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,349.7,Not Reported/ Can not calculate,48.7,22,22,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,2.5436956323092446,,1.6875289612146342,1.3424226808222062,,,,,,,,22,1.3424226808222062,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,163.3,Not Reported/ Can not calculate,9.3,30,30,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,2.212986184736668,,0.9684829485539351,1.4771212547196624,,,,,,,,30,1.4771212547196624,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,327.4,Not Reported/ Can not calculate,41.9,30,30,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,2.5150786750759226,,1.6222140229662954,1.4771212547196624,,,,,,,,30,1.4771212547196624,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,88.6,Not Reported/ Can not calculate,6.1,38,38,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,1.9474337218870508,,0.785329835010767,1.5797835966168101,,,,,,,,38,1.5797835966168101,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,211.8,Not Reported/ Can not calculate,35.7,38,38,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,2.325925955771466,,1.5526682161121932,1.5797835966168101,,,,,,,,38,1.5797835966168101,,sub-micron
1.6,0.9,1.7777777777777775,633,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.8--2.0,1.4,,48.6,Not Reported/ Can not calculate,0.2041199826559248,-0.045757490560675115,0.24987747321659984,,,,0.146128035678238,1.6866362692622934,,,,,48600,4.686636269262293,48600,4.686636269262293,,large
0.001,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.8,7.8,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-3.0,,,,,,0.8920946026904804,,,,,,,,7.8,0.8920946026904804,,sub-micron
0.01,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,7.8,7.8,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.0,,,,,,0.8920946026904804,,,,,,,,7.8,0.8920946026904804,,sub-micron
0.1,0.84,0.11904761904761904,Not Reported/ Can not calculate,1560,1.8571428571428572,151,5--7,6,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.0,-0.07572071393811836,-0.9242792860618817,3.1931245983544616,0.26884531229257996,2.1789769472931693,0.7781512503836436,,,,,,,,6,0.7781512503836436,,sub-micron
0.18,1.04,0.17307692307692304,Not Reported/ Can not calculate,3200,3.0769230769230766,172,5--7,6,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.744727494896694,0.01703333929878037,-0.7617608341954744,3.505149978319906,0.48811663902112556,2.2355284469075487,0.7781512503836436,,,,,,,,6,0.7781512503836436,,sub-micron
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,0.84,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,-0.07572071393811836,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,0.29,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,-0.5376020021010439,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,0.85,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,-0.07058107428570728,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,532,Not Reported/ Can not calculate,0.47,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,-0.3279021420642826,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,2.1,1000 (Number seems incorrect),Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,1.3,10000 (Number seems incorrect),Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.11394335230683679,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
37.800000000000004,2.7,14,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5774917998372253,0.43136376415898736,1.146128035678238,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
5,2.27,2.2,Not Reported/ Can not calculate,250,0.11,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,42,300,0.6989700043360189,0.35602585719312274,0.3424226808222063,2.3979400086720375,-0.958607314841775,,,1.6232492903979006,2.4771212547196626,,2.4771212547196626,Not Reported/ Can not calculate,42000,4.623249290397901,42000,4.623249290397901,,large
0.073,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.136677139879544,,,,,,0.16136800223497488,,,,,,,,1.45,0.16136800223497488,,sub-micron
0.19,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.073,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.721246399047171,,,,,,0.16136800223497488,,,-1.136677139879544,,,,,1.45,0.16136800223497488,,sub-micron
0.22,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.073,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.6575773191777937,,,,,,0.16136800223497488,,,-1.136677139879544,,,,,1.45,0.16136800223497488,,sub-micron
0.24,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.073,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.619788758288394,,,,,,0.16136800223497488,,,-1.136677139879544,,,,,1.45,0.16136800223497488,,sub-micron
0.43,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.073,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.36653154442041347,,,,,,0.16136800223497488,,,-1.136677139879544,,,,,1.45,0.16136800223497488,,sub-micron
0.09,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.0457574905606752,,,,,,0.16136800223497488,,,,,,,,1.45,0.16136800223497488,,sub-micron
0.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.09,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.0,,,,,,0.16136800223497488,,,-1.0457574905606752,,,,,1.45,0.16136800223497488,,sub-micron
0.15,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.09,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.8239087409443188,,,,,,0.16136800223497488,,,-1.0457574905606752,,,,,1.45,0.16136800223497488,,sub-micron
0.24,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.09,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.619788758288394,,,,,,0.16136800223497488,,,-1.0457574905606752,,,,,1.45,0.16136800223497488,,sub-micron
0.32,Not Reported/ Can not calculate,Not Reported/ Can not calculate,632.82,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,0.09,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.494850021680094,,,,,,0.16136800223497488,,,-1.0457574905606752,,,,,1.45,0.16136800223497488,,sub-micron
0.003,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,52,Not Reported/ Can not calculate,1.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,55.96,Not Reported/ Can not calculate,-2.5228787452803374,,,1.7160033436347992,,0.2787536009528289,,1.74787770581979,,,,,55960,4.74787770581979,55960,4.74787770581979,,large
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,82,Not Reported/ Can not calculate,2.8,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,55.7,Not Reported/ Can not calculate,,,,1.9138138523837167,,0.4471580313422192,,1.745855195173729,,,,,55700,4.745855195173729,55700,4.745855195173729,,large
0.213,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,347,Not Reported/ Can not calculate,12.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,8.44,Not Reported/ Can not calculate,-0.6716203965612623,,,2.5403294747908736,,1.110589710299249,,0.926342446625655,,,,,8440,3.926342446625655,8440,3.926342446625655,,large
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,354,Not Reported/ Can not calculate,17.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,8.22,Not Reported/ Can not calculate,,,,2.5490032620257876,,1.2329961103921538,,0.9148718175400504,,,,,8220,3.9148718175400505,8220,3.9148718175400505,,large
0.129386037967514,1.8,0.07188113220417444,514.4,410,0.22777777777777777,14.6,15,15,,10,Not Reported/ Can not calculate,-0.8881125858065462,0.25527250510330607,-1.1433850909098522,2.6127838567197355,-0.6424886483835706,1.1643528557844371,1.1760912590556813,1.0,,,,,10000,4,10000,4.0,,large
0.35146173504594796,1.53,0.22971355231761303,Not Reported/ Can not calculate,687.5,0.4493464052287582,20.6642066420664,15,15,0.129386037967514,9,Not Reported/ Can not calculate,-0.4541219513355036,0.1846914308175988,-0.6388133821531023,2.8372727025023003,-0.3474187283152985,1.3152187361317942,1.1760912590556813,0.9542425094393249,,-0.8881125858065462,,,9000,3.9542425094393248,9000,3.9542425094393248,,large
0.8227267319287851,1.53,0.5377298901495328,Not Reported/ Can not calculate,612.5,0.40032679738562094,16.4022140221402,15,15,0.129386037967514,9,Not Reported/ Can not calculate,-0.08474439142535743,0.1846914308175988,-0.2694358222429562,2.78710609303657,-0.3975853377810287,1.2149024744318262,1.1760912590556813,0.9542425094393249,,-0.8881125858065462,,,9000,3.9542425094393248,9000,3.9542425094393248,,large
0.6320387194410989,1.53,0.41309720224908425,Not Reported/ Can not calculate,605.882352941176,0.39600153787004966,15.7933579335793,15,15,0.129386037967514,9,Not Reported/ Can not calculate,-0.1992563155079186,0.1846914308175988,-0.3839477463255174,2.782388303326898,-0.4023031274907009,1.1984744781387653,1.1760912590556813,0.9542425094393249,,-0.8881125858065462,,,9000,3.9542425094393248,9000,3.9542425094393248,,large
0.403300385005258,1.53,0.2635950228792536,Not Reported/ Can not calculate,566.1764705882349,0.37004998077662415,16.4022140221402,15,15,0.129386037967514,9,Not Reported/ Can not calculate,-0.39437136339883005,0.1846914308175988,-0.5790627942164288,2.752951816802264,-0.4317396140153347,1.2149024744318262,1.1760912590556813,0.9542425094393249,,-0.8881125858065462,,,9000,3.9542425094393248,9000,3.9542425094393248,,large
Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,514,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2--1.7,1.45,,Not Reported/ Can not calculate,26.4,,,,,,,0.16136800223497488,,1.421603926869831,,1.421603926869831,,,,1.45,0.16136800223497488,,sub-micron
6.666666666666667,1.3,5.128205128205128,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,16,Not Reported/ Can not calculate,0.8239087409443188,0.11394335230683679,0.7099653886374819,,,,,1.2041199826559248,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
3.846153846153846,1.3,2.9585798816568043,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,18,Not Reported/ Can not calculate,0.585026652029182,0.11394335230683679,0.4710832997223452,,,,,1.255272505103306,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.7857142857142856,1.1,1.6233766233766234,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,11,Not Reported/ Can not calculate,0.25181197299379954,0.04139268515822508,0.21041928783557454,,,,,1.0413926851582251,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.362,1.29,0.278,532,15,0.01,Suspect there is a mistake in units,1.16-- 1.83,1.495,,95,Not Reported/ Can not calculate,-0.4412914294668343,0.11058971029924898,-0.5559552040819237,1.1760912590556813,-2.0,,0.17464119266044847,1.9777236052888478,,,,,95000,4.977723605288848,95000,4.977723605288848,,large
0.023,0.21,0.113,532,50,0.23,Suspect there is a mistake in units,1.16-- 1.83,1.495,,217,Not Reported/ Can not calculate,-1.6382721639824072,-0.6777807052660807,-0.9469215565165803,1.6989700043360187,-0.638272163982407,,0.17464119266044847,2.3364597338485296,,,,,217000,5.336459733848529,217000,5.336459733848529,,large
0.1639344262295082,1.05,0.18661,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.16-- 1.83,1.495,0.023,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.785329835010767,0.021189299069938092,-0.7290650871251418,,,,0.17464119266044847,,,-1.6382721639824072,,,,,1.495,0.17464119266044847,,sub-micron
