Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Raman wavelength,Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),CNT Diameter (nm),Plottable CNT Diameter (nm),Host Conductivity (MSm-1),Bulk Fiber Diameter (microns),Thermal Conductivity (W/(m K)),Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log Host Conductivity ,Log Thermal Conductivity ,Probe separation for Electrical conductivity (microns),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Diameter Regime
0.3448275862068965,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1992.5,Not Reported/ Can not calculate,634,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.46239799789895614,,,3.2993983300681498,,2.802089257881733,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
4.3478260869565215,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1089,Not Reported/ Can not calculate,172,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.638272163982407,,,3.037027879755775,,2.2355284469075487,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
14.285714285714285,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5248191322181621,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.154901959985743,,,,,,,,,0.18321833251031014,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
13.951484380422343,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5248191322181621,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.144620417210388,,,,,,,,,0.18321833251031014,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
12.651812936375395,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5248191322181621,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.1021527620217029,,,,,,,,,0.18321833251031014,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.5248191322181621,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.18321833251031014,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.0386425854304813,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.30934109199621124,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
20,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.7,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.3010299956639813,,,,,,,,,0.2304489213782739,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.14,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.045757490560675115,,,,,,,,,-0.8538719643217619,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,2.24,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.35024801833416286,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.5,2.26,1.1061946902654867,Not Reported/ Can not calculate,20000,8.849557522123895,1000,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.3979400086720376,0.35410843914740087,0.04383156952463667,4.301029995663981,0.9469215565165804,3.0,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.25,2,0.625,Not Reported/ Can not calculate,4400,2.2,180,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.09691001300805642,0.3010299956639812,-0.2041199826559248,3.6434526764861874,0.3424226808222063,2.255272505103306,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
10.40582726326743,7.874,1.3215427055203746,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.0172766123314547,0.8961954104542107,0.12108120187724389,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
